text,label,prediction,request_time,completion_tokens,prompt_tokens,total_tokens,prediction_post_processed
i have to study...   #face #pizza (i stole my roommate's idea for taking this pic) ,safe,safe,1.5867300033569336,2.0,112.0,114.0,safe
  days porn movie srilankanboyssex  ,safe,hateful,0.47795891761779785,3.0,99.0,102.0,hateful
feeling   for friends left in the place we use to live and raised our #son. life you live in the #mining world! ,safe,safe,0.5237846374511719,2.0,118.0,120.0,safe
"why only target little #muslim children for mispronouncing ""terraced house"" &amp; treat them like criminals!â¦ ",hateful,hateful,0.4954526424407959,3.0,118.0,121.0,hateful
M. Todd Henderson dared compare SCOTUS nominee Brett Kavanaugh with Sonia Sotomayor. They called him a racist and worse. http://www.patheos.com/blogs/dispatches/2018/08/09...,safe,hateful,0.5987522602081299,3.0,138.0,141.0,hateful
@user can someone please explain to these liberals that it takes more than clapping and kneeling to actually make a real difference ,safe,hateful,0.5570540428161621,3.0,115.0,118.0,hateful
"Italy is the world’s 9th economy and is on a trajectory that in the long run will end in an economic implosion due to demographic decline , not solvable by forced mass immigration The debt ratio will be 200 percent by... ",hateful,hateful,0.4513869285583496,3.0,138.0,141.0,hateful
You can't debate with a Libertarian either.  1)  Mindbendingly tedious theoretical concepts. 2)  Legalize Marijuana.,safe,safe,0.547415018081665,2.0,119.0,121.0,safe
The Orange One may actually combust... [NEWLINE][NEWLINE]We can hope... 🤞[NEWLINE]#Trump2020 😒[NEWLINE]#TrumpTaxReturns 🤫[NEWLINE]#TrumpBusinessGenius 😄[NEWLINE][NEWLINE]https://t.co/kyx7WbOoVz,hateful,hateful,0.5861995220184326,3.0,159.0,162.0,hateful
@user @user @user @user @user @user So the first thing you do is put the black guy up and call out that we are using the race card. Shows how racist you are. Maybe put a Latino or woman up next. ,hateful,hateful,0.4626505374908447,3.0,140.0,143.0,hateful
@user You are lying. Stick with the facts. We pay more than that now. ,safe,safe,0.5863134860992432,2.0,108.0,110.0,safe
Idk who these things are or why they're popular all of the sudden... And that's my meme about that ,hateful,safe,0.4740748405456543,2.0,111.0,113.0,safe
"I love those things. Oh well, maybe someday.",safe,safe,0.6463065147399902,2.0,100.0,102.0,safe
"@user justice, how is the search for the killer going?  ",safe,safe,0.5334486961364746,2.0,103.0,105.0,safe
"When you find yourself in a hole, quit digging. - Will Rogers #quote ",safe,safe,0.561671257019043,2.0,106.0,108.0,safe
The best part about being me is that I'll never be like you ,safe,hateful,0.5475244522094727,3.0,103.0,106.0,hateful
".@FLOTUS, I didn't hear you saying anything when you husband was talking about grabbing women by the pussy. That's ok tho? Go play in the garden in your stilettos and stfu! ",safe,hateful,0.5572364330291748,3.0,132.0,135.0,hateful
when albea bound comes on during the play list.   #awesomesong #paulbrandt,safe,safe,0.6778514385223389,2.0,110.0,112.0,safe
Employed by Ohio State!   And they are aware!    https://wexnermedical.osu.edu/find-a-doctor/ryan-williams-md-79996  See about me and media link.,safe,safe,0.5512955188751221,2.0,134.0,136.0,safe
They have no right to breath air in my opinion ,safe,hateful,0.59918212890625,3.0,100.0,103.0,hateful
"Live Now topics attract posts for visibility reasons, i suspect very few people in this topic would be making these muh sportsball muh niggerball posts at all were there not a topic prominently displayed for them to do so in. It reminds me of trained seals, clapping on cue. It's all very wrong",hateful,hateful,0.6417837142944336,3.0,150.0,153.0,hateful
finally... now on to other suppos~   #leagueoflegends ,safe,safe,0.5441856384277344,2.0,104.0,106.0,safe
@USER you are like a real life cartoon character!! I love and respect the shit out of you for it. Keep doing you,hateful,safe,2.927779197692871,2.0,115.0,117.0,safe
