text,label,prediction,response_time,vram_usage,ram_usage,total_time
"lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .",positive,positive,7.30349588394165,4279,99.94921875,5.2691539
consistently clever and suspenseful .,positive,positive,2.0955493450164795,4281,100.59765625,0.0648693
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",positive,positive,2.325770378112793,4281,100.296875,0.2720387
"the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .",positive,positive,2.148456573486328,4281,100.95703125,0.1051822
"red dragon "" never cuts corners .",positive,positive,2.2302260398864746,4281,100.96484375,0.1883106
fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .,positive,positive,2.256606340408325,4281,100.4375,0.2210186
throws in enough clever and unexpected twists to make the formula feel fresh .,positive,positive,2.2292559146881104,4264,100.9609375,0.2008536
weighty and ponderous but every bit as filling as the treat of the title .,positive,negative,2.4304404258728027,4264,101.01171875,0.3801671
"a real audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .",positive,positive,2.1427459716796875,4264,100.5078125,0.1141174
generates an enormous feeling of empathy for its characters .,positive,positive,2.2488291263580322,4264,101.00390625,0.194682
exposing the ways we fool ourselves is one hour photo's real strength .,positive,positive,2.2453207969665527,4264,101.0234375,0.2098289
"it's up to you to decide whether to admire these people's dedication to their cause or be repelled by their dogmatism , manipulativeness and narrow , fearful view of american life .",positive,negative,2.17923903465271,4264,101.703125,0.1264449
"mostly , [goldbacher] just lets her complicated characters be unruly , confusing and , through it all , human .",positive,positive,2.283278226852417,4264,101.7734375,0.2290088
. . . quite good at providing some good old fashioned spooks .,positive,positive,2.2581751346588135,4264,101.86328125,0.2149774
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",positive,negative,2.2403061389923096,4264,101.87890625,0.208559
scherfig's light-hearted profile of emotional desperation is achingly honest and delightfully cheeky .,positive,positive,2.4211840629577637,4264,101.92578125,0.3722265
"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship .",positive,positive,2.1909329891204834,4264,101.9296875,0.1381713
