text,label,prediction,response_time,vram_usage,ram_usage,total_time
@user Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to,no irony,irony,10.002683639526367,5469,120.1640625,7.9597854
"Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony",irony,irony,2.350095510482788,5485,123.796875,0.3005371
#NOT GONNA WIN,no irony,irony,2.27388858795166,5481,128.1640625,0.2236322
@user He is exactly that sort of person. Weirdo!,no irony,irony,2.3860907554626465,5430,128.78125,0.3349081
So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm,irony,irony,2.298001527786255,5437,129.02734375,0.2440697
Corny jokes are my absolute favorite,no irony,no irony,2.3824143409729004,5431,129.38671875,0.3392771
"People complain about my backround pic and all I feel is like ""hey don't blame me, Albert E might have spoken those words"" #sarcasm #life",irony,irony,2.425839900970459,5406,129.47265625,0.3884742
"@user @user Darn, my sock joke needs fixing?",no irony,irony,2.2503390312194824,5398,129.53125,0.2175195
"if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿",no irony,irony,2.357964038848877,5379,129.59375,0.3204704
"People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself",irony,irony,2.2920165061950684,5377,129.33203125,0.2468659
Most important thing I've learned in school,no irony,no irony,2.3785195350646973,5377,115.0078125,0.3406155
#OrionLaunch underway - yeah! #Orion,no irony,irony,2.405853271484375,5381,115.0546875,0.3735155
I love context and large ensemble Fridays!!!!! Der my most favourite #Sarcasm #GetTheFuckOut,irony,irony,2.2743232250213623,5378,115.10546875,0.2292234
Oh boy... @user in the house. Warm up the DJ booth @user,no irony,irony,2.4204792976379395,5367,115.19921875,0.3736779
"LIAR, i've never denied the 532 murders in Chicago in 2012 @user @user @user @user @user",no irony,irony,2.2903823852539062,5367,115.25390625,0.244081
"Always classy, never trashy and just a little sassy.",no irony,irony,2.3939735889434814,5360,115.30078125,0.3566681
"you believe you can say something, provide no proof and its a fact, WRONG @user @user",no irony,irony,2.428750514984131,5360,115.390625,0.3811248
