text,label,prediction,response_time,vram_usage,ram_usage,total_time
im feeling rather rotten so im not very ambitious right now,sadness,sadness,10.47590970993042,5408,120.1953125,8.4347911
im updating my blog because i feel shitty,sadness,sadness,2.3121399879455566,5402,123.8046875,0.2666926
i never make her separate from me because i don t ever want her to feel like i m ashamed with her,sadness,sadness,2.5352301597595215,5425,126.7421875,0.4892438
i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived,joy,joy,2.292119264602661,5426,127.13671875,0.2562174
i was feeling a little vain when i did this one,sadness,sadness,2.3646368980407715,5425,127.25,0.3337035
i cant walk into a shop anywhere where i do not feel uncomfortable,fear,anger,2.203974962234497,5416,127.32421875,0.159695
i felt anger when at the end of a telephone call,anger,anger,2.3790123462677,5416,127.37890625,0.3173848
i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia,joy,sadness,2.2675516605377197,5405,127.453125,0.2217745
i like to have the same breathless feeling as a reader eager to see what will happen next,joy,joy,2.3803510665893555,5408,127.52734375,0.332641
i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer,anger,anger,2.195463180541992,5409,127.10546875,0.153514
i don t feel particularly agitated,fear,sadness,2.3039824962615967,5425,115.921875,0.2765446
i feel beautifully emotional knowing that these women of whom i knew just a handful were holding me and my baba on our journey,sadness,love,2.302403450012207,5468,115.984375,0.2557199
i pay attention it deepens into a feeling of being invaded and helpless,fear,fear,2.3677499294281006,5440,116.09375,0.3191261
i just feel extremely comfortable with the group of people that i dont even need to hide myself,joy,joy,2.285548210144043,5434,116.1484375,0.2569097
i find myself in the odd position of feeling supportive of,love,error,2.333671808242798,5427,116.28125,0.2854265
i was feeling as heartbroken as im sure katniss was,sadness,sadness,2.5164530277252197,5423,116.3984375,0.49902
i feel a little mellow today,joy,sadness,2.254903554916382,5415,116.5,0.2057566
i feel like my only role now would be to tear your sails with my pessimism and discontent,sadness,anger,2.3919482231140137,5424,116.5078125,0.3787167
i feel just bcoz a fight we get mad to each other n u wanna make a publicity n let the world knows about our fight,anger,anger,2.1718993186950684,5422,116.52734375,0.1382147
i feel like reds and purples are just so rich and kind of perfect,joy,joy,2.2760212421417236,5413,116.52734375,0.2343265
im not sure the feeling of loss will ever go away but it may dull to a sweet feeling of nostalgia at what i shared in this life with my dad and the luck i had to have a dad for years,sadness,sadness,2.320068836212158,5406,116.5703125,0.2828161
i feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are a part of this little space,joy,joy,2.352248430252075,5425,116.60546875,0.3049863
i survey my own posts over the last few years and only feel pleased with vague snippets of a few of them only feel that little bits of them capture what its like to be me or someone like me in dublin in the st century,joy,sadness,2.3365068435668945,5431,116.65625,0.3082733
i also tell you in hopes that anyone who is still feeling stigmatized or ashamed of their mental health issues will let go of the stigma let go of the shame,sadness,sadness,2.3200900554656982,5438,116.68359375,0.2791212
i don t feel guilty like i m not going to be able to cook for him,sadness,sadness,2.3023226261138916,5427,116.68359375,0.2467293
i hate it when i feel fearful for absolutely no reason,fear,fear,2.3122072219848633,5431,116.703125,0.2727359
i am feeling outraged it shows everywhere,anger,anger,2.310955762863159,5430,116.70703125,0.2607943
i stole a book from one of my all time favorite authors and now i feel like a rotten person,sadness,anger,2.3463451862335205,5418,116.70703125,0.3059938
i do feel insecure sometimes but who doesnt,fear,sadness,2.343416929244995,5418,116.70703125,0.2960961
i highly recommend visiting on a wednesday if youre able because its less crowded so you get to ask the farmers more questions without feeling rude for holding up a line,anger,joy,2.3239710330963135,5426,116.70703125,0.2777166
ive been missing him and feeling so restless at home thinking of him,fear,sadness,2.343878746032715,5432,116.7421875,0.3091997
i posted on my facebook page earlier this week ive been feeling a little grumpy and out of sorts the past few days,anger,sadness,2.3329741954803467,5419,116.7421875,0.304224
i start to feel emotional,sadness,sadness,2.330216646194458,5410,116.7421875,0.2952936
i feel so cold a href http irish,anger,sadness,2.334850311279297,5416,116.7421875,0.2996636
i feel like i m defective or something for not having baby fever,sadness,sadness,2.3396384716033936,5415,116.7421875,0.3013546
i feel more virtuous than when i eat veggies dipped in hummus,joy,joy,2.3193986415863037,5415,116.7421875,0.2686702
i feel very honoured to be included in a magzine which prioritises health and clean living so highly im curious do any of you read magazines concerned with health and clean lifestyles such as the green parent,joy,joy,2.328051805496216,5415,116.74609375,0.2827531
i spent the last two weeks of school feeling miserable,sadness,sadness,2.342574119567871,5415,116.74609375,0.2923322
im feeling very peaceful about our wedding again now after having,joy,error,2.334275484085083,5411,116.7734375,0.288891
i had been talking to coach claudia barcomb and coach ali boe for a long time and they both made me feel very welcomed at union,joy,joy,2.291491985321045,5411,116.7734375,0.2485275
i feel if i completely hated things i d exercise my democratic right speak my mind in what ever ways possible and try to enact a change,anger,anger,2.318065643310547,5411,116.7578125,0.2650977
i feel humiliated embarrassed or foolish i will remember that others have felt the same way because of the same kinds of things and i will be kind and helpful and accepting,sadness,sadness,2.3621952533721924,5412,116.765625,0.3164285
i feel reassured that i am dealing with my diet in the right way and that all is good,joy,joy,2.32731294631958,5412,116.765625,0.2792496
i feel i have to agree with her even though i can imagine some rather unpleasant possible cases,sadness,sadness,2.3405497074127197,5412,116.765625,0.3124889
im in such a happy mood today i feel almost delighted and i havent done anything different today then i normally have it is wonderful,joy,joy,2.3320086002349854,5412,116.765625,0.2869578
im feeling really out of place and irritated,anger,anger,2.2817931175231934,5412,116.78125,0.2555352
i also know that i feel nothing than a friendly affection to them too,joy,love,2.364037036895752,5412,116.78125,0.3226303
i feel like i had a rather productive weekend and i cant always say that no matter how much i get done,joy,joy,2.334857225418091,5412,116.78125,0.3119668
im feeling insecure at the moment,fear,sadness,2.3511476516723633,5412,116.78125,0.29832
i was feeling pretty anxious all day but my first day at work was a very good day and that helped a lot,fear,error,2.3199636936187744,5412,116.78125,0.2777766
i stood up to you i finally stood up to you and now i feel like im being punished if i could go back and do it again,sadness,anger,2.336472511291504,5412,116.78125,0.2816006
i feel a little nervous i go to the gym,fear,fear,2.3329098224639893,5412,116.78125,0.2947421
i feel like i could go into any situation and become successful because i ve been competing all my life explained schaub in an interview with the a href http bleacherreport,joy,joy,2.337777853012085,5397,116.78125,0.3122278
i can t stop the anxiety i feel when i m alone when i ve got no distractions,sadness,fear,2.3364462852478027,5397,116.8515625,0.2994396
im trying to feel out my house style now that im living on my own and have creative carte blanche,joy,surprise,2.339089870452881,5397,116.8515625,0.2945157
i have tried to see what it would be like if i liked one of my girl friends but it has never really worked and i can only ever feel an emotional connection to them because they are my friends,sadness,sadness,2.3492612838745117,5397,116.8515625,0.3192927
i had every intention of doing more gardening this morning while it was still cool but i was just feeling so rotten,sadness,sadness,2.331648349761963,5397,116.8515625,0.299388
i have a good feeling about this so i am excited,joy,joy,2.321377754211426,5397,116.8515625,0.2856855
i feel like i am just starting to understand the blessings that come from being submissive to the will of the father,sadness,love,2.322251796722412,5397,116.8515625,0.2859982
i think about the things ive said and the stuff i have done it makes me feel disgusted in myself when i should be making you happy and smile which i was far from doing,anger,anger,2.3297312259674072,5397,116.8515625,0.3015857
i woke up yesterday monday morning feeling a little depressed,sadness,sadness,2.3357203006744385,5397,116.8515625,0.3058894
i feel so embarrassed,sadness,sadness,2.338470697402954,5397,116.91015625,0.2878471
i spent wandering around still kinda dazed and not feeling particularly sociable but because id been in hiding for a couple for days and it was getting to be a little unhealthy i made myself go down to the cross and hang out with folks,joy,sadness,2.3277924060821533,5397,116.921875,0.3017366
