text,label,prediction,request_time,completion_tokens,prompt_tokens,total_tokens,prediction_post_processed
"lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .",positive,"positive
",1.1368005275726318,2.0,100.0,102.0,positive
consistently clever and suspenseful .,positive,"positive
",1.0356190204620361,2.0,81.0,83.0,positive
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",positive,"positive
",1.1117751598358154,2.0,107.0,109.0,positive
"the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .",positive,"positive
",1.0659239292144775,2.0,99.0,101.0,positive
"red dragon "" never cuts corners .",positive,"positive
",1.0426700115203857,2.0,82.0,84.0,positive
fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .,positive,"positive
",1.0940122604370117,2.0,104.0,106.0,positive
throws in enough clever and unexpected twists to make the formula feel fresh .,positive,"positive
",0.5247080326080322,2.0,89.0,91.0,positive
weighty and ponderous but every bit as filling as the treat of the title .,positive,"positive
",1.0373544692993164,2.0,91.0,93.0,positive
"a real audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .",positive,"positive
",1.0085899829864502,2.0,110.0,112.0,positive
generates an enormous feeling of empathy for its characters .,positive,"positive
",1.193507194519043,2.0,85.0,87.0,positive
exposing the ways we fool ourselves is one hour photo's real strength .,positive,"positive
",1.0409188270568848,2.0,90.0,92.0,positive
"it's up to you to decide whether to admire these people's dedication to their cause or be repelled by their dogmatism , manipulativeness and narrow , fearful view of american life .",positive,"negative
",1.1860828399658203,2.0,114.0,116.0,negative
"mostly , [goldbacher] just lets her complicated characters be unruly , confusing and , through it all , human .",positive,"positive
",1.0336759090423584,2.0,98.0,100.0,positive
. . . quite good at providing some good old fashioned spooks .,positive,"positive
",1.0852687358856201,2.0,89.0,91.0,positive
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",positive,"negative
",1.0276191234588623,2.0,95.0,97.0,negative
scherfig's light-hearted profile of emotional desperation is achingly honest and delightfully cheeky .,positive,"positive
",1.0775151252746582,2.0,94.0,96.0,positive
"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship .",positive,"positive
",1.0538642406463623,2.0,122.0,124.0,positive
"the wonderfully lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .",positive,"positive
",1.024505615234375,2.0,132.0,134.0,positive
"as it turns out , you can go home again .",positive,"positive
",1.0754468441009521,2.0,86.0,88.0,positive
"you've already seen city by the sea under a variety of titles , but it's worth yet another visit .",positive,"positive
",1.0991711616516113,2.0,99.0,101.0,positive
"this kind of hands-on storytelling is ultimately what makes shanghai ghetto move beyond a good , dry , reliable textbook and what allows it to rank with its worthy predecessors .",positive,"positive
",1.0211749076843262,2.0,108.0,110.0,positive
"making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no doubt intended the film to affirm love's power to help people endure almost unimaginable horror .",positive,"negative
",1.0319395065307617,2.0,113.0,115.0,negative
"grown-up quibbles are beside the point here . the little girls understand , and mccracken knows that's all that matters .",positive,"positive
",1.0585999488830566,2.0,104.0,106.0,positive
"a powerful , chilling , and affecting study of one man's dying fall .",positive,"positive
",1.0348258018493652,2.0,91.0,93.0,positive
this is a fascinating film because there is no clear-cut hero and no all-out villain .,positive,"positive
",1.086036205291748,2.0,95.0,97.0,positive
"a dreadful day in irish history is given passionate , if somewhat flawed , treatment .",positive,"positive
",1.0567829608917236,2.0,91.0,93.0,positive
. . . a good film that must have baffled the folks in the marketing department .,positive,"positive
",1.0124320983886719,2.0,92.0,94.0,positive
". . . is funny in the way that makes you ache with sadness ( the way chekhov is funny ) , profound without ever being self-important , warm without ever succumbing to sentimentality .",positive,"positive
",1.0527946949005127,2.0,115.0,117.0,positive
"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking .",positive,"negative
",1.068439245223999,2.0,106.0,108.0,negative
a soul-stirring documentary about the israeli/palestinian conflict as revealed through the eyes of some children who remain curious about each other against all odds .,positive,"positive
",1.0910613536834717,2.0,107.0,109.0,positive
what's so striking about jolie's performance is that she never lets her character become a caricature -- not even with that radioactive hair .,positive,"positive
",1.0661365985870361,2.0,103.0,105.0,positive
"the main story . . . is compelling enough , but it's difficult to shrug off the annoyance of that chatty fish .",positive,"negative
",1.1496071815490723,2.0,101.0,103.0,negative
"the performances are immaculate , with roussillon providing comic relief .",positive,"positive
",1.1236536502838135,2.0,88.0,90.0,positive
kinnear . . . gives his best screen performance with an oddly winning portrayal of one of life's ultimate losers .,positive,"positive
",1.0485858917236328,2.0,99.0,101.0,positive
"hugh grant , who has a good line in charm , has never been more charming than in about a boy .",positive,"positive
",1.0839769840240479,2.0,98.0,100.0,positive
there's a lot of tooth in roger dodger . but what's nice is that there's a casual intelligence that permeates the script .,positive,"positive
",1.056769609451294,2.0,106.0,108.0,positive
"reminiscent of alfred hitchcock's thrillers , most of the scary parts in 'signs' occur while waiting for things to happen .",positive,"positive
",1.061943769454956,2.0,103.0,105.0,positive
one of the best looking and stylish animated movies in quite a while . . .,positive,"positive
",1.0787279605865479,2.0,91.0,93.0,positive
"its use of the thriller form to examine the labyrinthine ways in which people's lives cross and change , buffeted by events seemingly out of their control , is intriguing , provocative stuff .",positive,"positive
",1.0134868621826172,2.0,114.0,116.0,positive
denver should not get the first and last look at one of the most triumphant performances of vanessa redgrave's career . it deserves to be seen everywhere .,positive,"positive
",1.0687425136566162,2.0,108.0,110.0,positive
"you needn't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of haynes' work . though haynes' style apes films from the period . . . its message is not rooted in that decade .",positive,"positive
",1.0357539653778076,2.0,126.0,128.0,positive
waiting for godard can be fruitful : 'in praise of love' is the director's epitaph for himself .,positive,"positive
",1.06734299659729,2.0,99.0,101.0,positive
a gangster movie with the capacity to surprise .,positive,"positive
",1.032703161239624,2.0,84.0,86.0,positive
"the film has a laundry list of minor shortcomings , but the numerous scenes of gory mayhem are worth the price of admission . . . if "" gory mayhem "" is your idea of a good time .",positive,"positive
",0.686309814453125,2.0,114.0,116.0,positive
"if not a home run , then at least a solid base hit .",positive,"positive
",1.028376817703247,2.0,89.0,91.0,positive
goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .,positive,"positive
",0.633455753326416,2.0,95.0,97.0,positive
. . . a fairly disposable yet still entertaining b picture .,positive,"positive
",1.0981049537658691,2.0,87.0,89.0,positive
"it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing make it unexpectedly rewarding .",positive,"positive
",1.003157615661621,2.0,101.0,103.0,positive
the film truly does rescue [the funk brothers] from motown's shadows . it's about time .,positive,"positive
",1.0297060012817383,2.0,98.0,100.0,positive
"drawing on an irresistible , languid romanticism , byler reveals the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth .",positive,"positive
",1.0109508037567139,2.0,115.0,117.0,positive
"works because we're never sure if ohlinger's on the level or merely a dying , delusional man trying to get into the history books before he croaks .",positive,"positive
",1.0182952880859375,2.0,110.0,112.0,positive
[scherfig] has made a movie that will leave you wondering about the characters' lives after the clever credits roll .,positive,"positive
",1.0516977310180664,2.0,99.0,101.0,positive
"a heady , biting , be-bop ride through nighttime manhattan , a loquacious videologue of the modern male and the lengths to which he'll go to weave a protective cocoon around his own ego .",positive,"positive
",1.036677360534668,2.0,118.0,120.0,positive
"skin of man gets a few cheap shocks from its kids-in-peril theatrics , but it also taps into the primal fears of young people trying to cope with the mysterious and brutal nature of adults .",positive,"positive
",0.6053118705749512,2.0,117.0,119.0,positive
"the piano teacher is not an easy film . it forces you to watch people doing unpleasant things to each other and themselves , and it maintains a cool distance from its material that is deliberately unsettling .",positive,"negative
",1.0784196853637695,2.0,113.0,115.0,negative
as refreshing as a drink from a woodland stream .,positive,"positive
",1.0997464656829834,2.0,85.0,87.0,positive
williams absolutely nails sy's queasy infatuation and overall strangeness .,positive,"positive
",1.073329210281372,2.0,90.0,92.0,positive
can i admit xxx is as deep as a petri dish and as well-characterized as a telephone book but still say it was a guilty pleasure ?,positive,"positive
",1.113875150680542,2.0,105.0,107.0,positive
"while it's nothing we haven't seen before from murphy , i spy is still fun and enjoyable and so aggressively silly that it's more than a worthwhile effort .",positive,"positive
",1.062016248703003,2.0,111.0,113.0,positive
"by the time it ends in a rush of sequins , flashbulbs , blaring brass and back-stabbing babes , it has said plenty about how show business has infiltrated every corner of society -- and not always for the better .",positive,"positive
",0.5819752216339111,2.0,122.0,124.0,positive
an intimate contemplation of two marvelously messy lives .,positive,"positive
",1.0847573280334473,2.0,85.0,87.0,positive
"rarely has skin looked as beautiful , desirable , even delectable , as it does in trouble every day .",positive,"positive
",1.0357494354248047,2.0,95.0,97.0,positive
this is one of those rare docs that paints a grand picture of an era and makes the journey feel like a party .,positive,"positive
",1.0229771137237549,2.0,99.0,101.0,positive
poignant if familiar story of a young person suspended between two cultures .,positive,"positive
",1.0476782321929932,2.0,88.0,90.0,positive
a metaphor for a modern-day urban china searching for its identity .,positive,"positive
",1.056539535522461,2.0,89.0,91.0,positive
"for all its brooding quality , ash wednesday is suspenseful and ultimately unpredictable , with a sterling ensemble cast .",positive,"positive
",1.0975265502929688,2.0,96.0,98.0,positive
an odd drama set in the world of lingerie models and bar dancers in the midwest that held my interest precisely because it didn't try to .,positive,"positive
",1.1372647285461426,2.0,105.0,107.0,positive
"the film feels uncomfortably real , its language and locations bearing the unmistakable stamp of authority .",positive,"positive
",1.0230257511138916,2.0,93.0,95.0,positive
"despite its faults , gangs excels in spectacle and pacing .",positive,"positive
",1.0330173969268799,2.0,86.0,88.0,positive
entertaining despite its one-joke premise with the thesis that women from venus and men from mars can indeed get together .,positive,"positive
",1.0506093502044678,2.0,98.0,100.0,positive
"a tightly directed , highly professional film that's old-fashioned in all the best possible ways .",positive,"positive
",1.0742566585540771,2.0,95.0,97.0,positive
it's dark but has wonderfully funny moments ; you care about the characters ; and the action and special effects are first-rate .,positive,"positive
",1.0795915126800537,2.0,102.0,104.0,positive
in visual fertility treasure planet rivals the top japanese animations of recent vintage .,positive,"positive
",1.1186838150024414,2.0,89.0,91.0,positive
"enormously enjoyable , high-adrenaline documentary .",positive,"positive
",0.6091125011444092,2.0,84.0,86.0,positive
"buy is an accomplished actress , and this is a big , juicy role .",positive,"positive
",1.0208523273468018,2.0,90.0,92.0,positive
it works its magic with such exuberance and passion that the film's length becomes a part of its fun .,positive,"positive
",1.0102429389953613,2.0,98.0,100.0,positive
"beautifully crafted and brutally honest , promises offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people .",positive,"positive
",1.0577762126922607,2.0,102.0,104.0,positive
an old-fashioned but emotionally stirring adventure tale of the kind they rarely make anymore .,positive,"positive
",1.0455107688903809,2.0,92.0,94.0,positive
charlotte sometimes is a gem . it's always enthralling .,positive,"positive
",1.1207501888275146,2.0,89.0,91.0,positive
"in my opinion , analyze that is not as funny or entertaining as analyze this , but it is a respectable sequel .",positive,"positive
",1.1514506340026855,2.0,98.0,100.0,positive
a remarkable film by bernard rose .,positive,"positive
",1.0224802494049072,2.0,83.0,85.0,positive
"zhuangzhuang creates delicate balance of style , text , and subtext that's so simple and precise that anything discordant would topple the balance , but against all odds , nothing does .",positive,"positive
",1.1035406589508057,2.0,115.0,117.0,positive
"a much more successful translation than its most famous previous film adaptation , writer-director anthony friedman's similarly updated 1970 british production .",positive,"positive
",1.0386221408843994,2.0,106.0,108.0,positive
an original and highly cerebral examination of the psychopathic mind,positive,"positive
",1.0313892364501953,2.0,86.0,88.0,positive
michel piccoli's moving performance is this films reason for being .,positive,"positive
",0.984827995300293,2.0,88.0,90.0,positive
a captivating and intimate study about dying and loving . . .,positive,"positive
",1.062483787536621,2.0,87.0,89.0,positive
this is an elegantly balanced movie -- every member of the ensemble has something fascinating to do -- that doesn't reveal even a hint of artifice .,positive,"positive
",1.1581132411956787,2.0,104.0,106.0,positive
[grant] goes beyond his usual fluttering and stammering and captures the soul of a man in pain who gradually comes to recognize it and deal with it .,positive,"positive
",1.065605878829956,2.0,106.0,108.0,positive
a high-spirited buddy movie about the reunion of berlin anarchists who face arrest 15 years after their crime .,positive,"positive
",1.0346174240112305,2.0,99.0,101.0,positive
about the best thing you could say about narc is that it's a rock-solid little genre picture . whether you like it or not is basically a matter of taste .,positive,"positive
",1.0664403438568115,2.0,111.0,113.0,positive
"an involving , inspirational drama that sometimes falls prey to its sob-story trappings .",positive,"negative
",1.0437507629394531,2.0,92.0,94.0,negative
some of the most inventive silliness you are likely to witness in a movie theatre for some time .,positive,"positive
",1.0581893920898438,2.0,95.0,97.0,positive
canadian filmmaker gary burns' inventive and mordantly humorous take on the soullessness of work in the city .,positive,"positive
",1.0617592334747314,2.0,98.0,100.0,positive
"a rollicking ride , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that leads up to a strangely sinister happy ending .",positive,"positive
",1.0222899913787842,2.0,117.0,119.0,positive
"everyone's insecure in lovely and amazing , a poignant and wryly amusing film about mothers , daughters and their relationships .",positive,"positive
",1.0781257152557373,2.0,99.0,101.0,positive
the closest thing to the experience of space travel,positive,"positive
",1.0717759132385254,2.0,84.0,86.0,positive
full of surprises .,positive,"positive
",1.039257287979126,2.0,79.0,81.0,positive
connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not withered during his enforced hiatus .,positive,"positive
",0.5526177883148193,2.0,99.0,101.0,positive
"if you can push on through the slow spots , you'll be rewarded with some fine acting .",positive,"positive
",1.0667197704315186,2.0,95.0,97.0,positive
"an unusually dry-eyed , even analytical approach to material that is generally played for maximum moisture .",positive,"negative
",1.10667085647583,2.0,94.0,96.0,negative
"symbolically , warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal .",positive,"positive
",1.0458998680114746,2.0,100.0,102.0,positive
spy kids 2 also happens to be that rarity among sequels : it actually improves upon the original hit movie .,positive,"positive
",1.0714890956878662,2.0,97.0,99.0,positive
exceptionally well acted by diane lane and richard gere .,positive,"positive
",1.0485613346099854,2.0,86.0,88.0,positive
"like a precious and finely cut diamond , magnificent to behold in its sparkling beauty yet in reality it's one tough rock .",positive,"positive
",1.2478289604187012,2.0,100.0,102.0,positive
